code,time,open,high,low,close,quote colume,volume
600760,13-Sep-21,74.36847,75.42052,71.83758,72.75069,15411506,1135592224
600760,14-Sep-21,73.32634,74.696,71.85744,72.35368,18137672,1333577488
600760,15-Sep-21,72.03609,73.67372,69.49526,72.74076,20459725,1474331280
600760,16-Sep-21,72.25444,73.23701,70.46793,70.70612,13232044,955529120
600760,17-Sep-21,70.8153,71.71848,66.4979,69.18759,20177009,1401100016
600760,22-Sep-21,68.19508,72.75069,67.58965,70.855,16826056,1201933600
600760,23-Sep-21,70.87486,74.23945,70.87486,73.74319,23403384,1724586800
600760,24-Sep-21,73.40574,74.17989,72.56211,72.91942,11707366,863588800
600760,27-Sep-21,72.35368,73.39581,68.26456,70.19003,17397237,1233507184
600760,28-Sep-21,70.11062,71.0138,69.64414,69.71362,11741402,831928208
600760,29-Sep-21,69.05856,69.64414,65.80315,65.81306,17005361,1150081712
600760,30-Sep-21,66.48798,68.16531,66.42842,67.82786,11576534,789395184
600760,8-Oct-21,68.38366,68.66156,65.53517,66.1009,10736201,722563376
600760,11-Oct-21,66.54753,69.6243,66.24977,67.20258,13995279,958331360
600760,12-Oct-21,66.99416,66.99416,63.92731,64.83049,13585142,894008160
600760,13-Oct-21,60.54287,63.94716,59.59998,63.69903,26589158,1658078464
600760,14-Oct-21,62.87228,67.99822,62.69347,66.70681,21855706,1462036608
600760,15-Oct-21,66.69688,67.20351,66.04124,66.6174,10828825,727048576
600760,18-Oct-21,66.66708,69.1009,66.65714,68.59427,11966628,821316352
600760,19-Oct-21,68.634,68.82275,66.82601,67.41212,10823837,735161376
600760,20-Oct-21,67.41212,68.90222,67.24325,68.81281,11812259,812135824
600760,21-Oct-21,68.09757,69.0413,67.23331,68.1075,8636747,589715648
600760,22-Oct-21,68.0479,68.70354,67.27305,68.39558,7383626,505987408
600760,25-Oct-21,68.87242,70.38239,68.0479,70.05457,13601131,950311168
600760,26-Oct-21,70.0049,70.73007,69.50819,70.32278,10132617,715375648
600760,27-Oct-21,71.5248,72.5182,70.07443,71.495,15989658,1147316544
600760,28-Oct-21,70.54134,73.71027,70.53139,72.20031,16537223,1201961888
600760,29-Oct-21,72.5182,75.26991,70.75988,75.0017,25761410,1917787376
600760,1-Nov-21,76.53153,78.06137,74.38579,75.0017,27956531,2146927552
600760,2-Nov-21,75.4984,79.59121,75.20038,77.9521,30317329,2366764528
600760,3-Nov-21,76.98849,77.18717,73.9785,76.61101,20048627,1525964512
600760,4-Nov-21,76.09444,78.35939,75.59774,77.55473,16279836,1262691888
